group,color,r,g,b
light,grey,140,140,140
light,blue,136,189,230
light,orange,251,178,88
light,green,144,205,151
light,pink,246,170,201
light,brown,191,165,84
light,purple,188,153,199
light,yellow,237,221,70
light,red,240,126,110
medium,grey,77,77,77
medium,blue,93,165,218
medium,orange,250,154,58
medium,green,96,189,104
medium,pink,241,124,176
medium,brown,178,145,47
medium,purple,178,118,178
medium,yellow,222,207,63
medium,red,241,88,84
dark,grey,0,0,0
dark,blue,38,93,171
dark,orange,223,92,36
dark,green,5,151,72
dark,pink,229,18,111
dark,brown,157,114,42
dark,purple,123,58,150
dark,yellow,199,180,46
dark,red,203,32,39
